,content,engine,positions,pretty_url,pubdate,score,title,url,searchvalue,searchquery,ResponseCategory,country,contentDate,Date
23,"In the Federal Republic of Germany, the Ladenschlussgesetz or ""Shop Closing Law"" (abbreviated: LadSchlG) is the federal law regulating at which times retail ...",startpage,[4],https://en.wikipedia.org/wiki/Ladenschlussgesetz,,0.25,Ladenschlussgesetz - Wikipedia,https://en.wikipedia.org/wiki/Ladenschlussgesetz,shutdown+shops,germany+shutdown+shops,lockdown,germany,"In the Federal Republic of Germany, the Ladenschlussgesetz or ""Shop Closing Law"" (abbreviated: LadSchlG) is the federal law regulating at which times retail",
24,"With Germans snapping up canned goods and toilet paper to weather the outbreak, stores have fewer supplies left over to donate to the needy, ...",startpage,[5],https://www.dw.com/en/coronavirus-begi[...]-public-life-across-germany/a-52743358,2020-03-12 00:00:00,0.2,Coronavirus begins shutting down public life across Germany | DW ...,https://www.dw.com/en/coronavirus-begins-shutting-down-public-life-across-germany/a-52743358,shutdown+shops,germany+shutdown+shops,lockdown,germany,"With Germans snapping up canned goods and toilet paper to weather the outbreak, stores have fewer supplies left over to donate to the needy,",2020-03-12 00:00:00
25,16 Mar 2020 ...,startpage,[6],https://www.dailymail.co.uk/news/artic[...]s-new-rules-close-essential-shops.html,,0.16666666666666666,Coronavirus Germany: All but banks and essential shops closed,https://www.dailymail.co.uk/news/article-8117883/Germany-agrees-new-rules-close-essential-shops.html,shutdown+shops,germany+shutdown+shops,lockdown,germany,2020-03-16,2020-03-16 00:00:00
26,"Many ski resorts and hotels across Europe are also closing their doors. ... Supermarkets and pharmacies remain open–other shops are required to close ... As are Chinese, South Koreans and Germans from all other regions.",startpage,[7],https://www.forbes.com/sites/tamarathi[...]avirus-europe-closes-borders-tourists/,2020-03-14 00:00:00,0.14285714285714285,Coronavirus: Some Of These 24 European Countries Have Closed ...,https://www.forbes.com/sites/tamarathiessen/2020/03/14/coronavirus-europe-closes-borders-tourists/,shutdown+shops,germany+shutdown+shops,lockdown,germany,"Many ski resorts and hotels across Europe are also closing their doors. Supermarkets and pharmacies remain open–other shops are required to close As are Chinese, South Koreans and Germans from all other regions.",2020-03-14 00:00:00
27,"Germany's chancellor Angela Merkel this week announced a shutdown of shops, churches, sports facilities, bars and clubs, while imposing ...",startpage,[8],https://www.ft.com/content/79d19c62-1396-3763-8b42-aaf1f091e336,2020-03-17 00:00:00,0.125,Coronavirus: US exchanges argue against shortened trading hours ...,https://www.ft.com/content/79d19c62-1396-3763-8b42-aaf1f091e336,shutdown+shops,germany+shutdown+shops,lockdown,germany,"Germany's chancellor Angela Merkel this week announced a shutdown of shops, churches, sports facilities, bars and clubs, while imposing",2020-03-17 00:00:00
28,"Germany's draconian Ladenschlussgesetz (store-closing law) had no major revisions until October 1989 with the introduction of the “long Thursday,” der lange ...",startpage,[9],https://www.german-way.com/travel-and-[...]-in-germany/shopping-hours-in-germany/,,0.1111111111111111,Shopping Hours in Germany – The German Way & More,https://www.german-way.com/travel-and-tourism/germany-for-tourists/shopping-in-germany/shopping-hours-in-germany/,shutdown+shops,germany+shutdown+shops,lockdown,germany,"Germany's draconian Ladenschlussgesetz (store-closing law) had no major revisions until October 1989 with the introduction of the “long Thursday,” der lange",
29,"The prime minister closed all nonessential shops, banning meetings of more ... place Britain under a virtual lockdown, closing all nonessential shops, ... Chancellor Angela Merkel of Germany, who have all but quarantined ...",startpage,[10],https://www.nytimes.com/2020/03/23/wor[...]rope/coronavirus-uk-boris-johnson.html,2020-03-24 00:36:36,0.1,Coronavirus in the U.K.: Boris Johnson Orders Virtual Lockdown ...,https://www.nytimes.com/2020/03/23/world/europe/coronavirus-uk-boris-johnson.html,shutdown+shops,germany+shutdown+shops,lockdown,germany,"The prime minister closed all nonessential shops, banning meetings of more place Britain under a virtual lockdown, closing all nonessential shops, Chancellor Angela Merkel of Germany, who have all but quarantined",2020-03-24 00:36:36
30,"As restaurants and other services shut down on Monday, the ... by Germany's influential Ifo think tank, a partial economic shutdown could cost ...",startpage,[1],https://www.dw.com/en/coronavirus-germ[...]-costs-of-economic-shutdown/a-52890813,2020-03-24 00:36:37,1.0,Coronavirus: Germany counts costs of economic shutdown | DW ...,https://www.dw.com/en/coronavirus-germany-counts-costs-of-economic-shutdown/a-52890813,shut+down,germany+shut+down,lockdown,germany,"As restaurants and other services shut down on Monday, the by Germany's influential Ifo think tank, a partial economic shutdown could cost",2020-03-24 00:36:37
31,German authorities are turning visitors back at the airports amid the COVID-19 pandemic. Angela Merkel has urged Germans to rise to the ...,startpage,[2],https://www.dw.com/en/coronavirus-germ[...]n-borders-halts-public-life/a-52813432,2020-03-18 00:00:00,0.5,"Coronavirus: Germany shuts down borders, halts public life | DW ...",https://www.dw.com/en/coronavirus-germany-shuts-down-borders-halts-public-life/a-52813432,shut+down,germany+shut+down,lockdown,germany,German authorities are turning visitors back at the airports amid the COVID-19 pandemic. Angela Merkel has urged Germans to rise to the,2020-03-18 00:00:00
32,16 Mar 2020 ...,startpage,[3],https://www.bbc.com/news/world-europe-51905129,,0.3333333333333333,Germany closes borders to try to slow virus,https://www.bbc.com/news/world-europe-51905129,shut+down,germany+shut+down,lockdown,germany,2020-03-16,2020-03-16 00:00:00
33,"Following the March 2011 Fukushima nuclear disaster, Germany has permanently shut down eight of its 17 reactors. Galvanised by the ...",startpage,[4],https://en.wikipedia.org/wiki/Nuclear_power_phase-out,,0.25,Nuclear power phase-out - Wikipedia,https://en.wikipedia.org/wiki/Nuclear_power_phase-out,shut+down,germany+shut+down,lockdown,germany,"Following the March 2011 Fukushima nuclear disaster, Germany has permanently shut down eight of its 17 reactors. Galvanised by the",
34,BERLIN — The German government on Thursday banned two clubs linked to an anti-Semitic movement that refuses to recognize the modern ...,startpage,[5],https://www.nytimes.com/2020/03/19/wor[...]europe/germany-reich-citizens-ban.html,2020-03-20 00:36:37,0.2,Germany Shuts Down Far-Right Clubs That Deny the Modern State ...,https://www.nytimes.com/2020/03/19/world/europe/germany-reich-citizens-ban.html,shut+down,germany+shut+down,lockdown,germany,BERLIN — The German government on Thursday banned two clubs linked to an anti-Semitic movement that refuses to recognize the modern,2020-03-20 00:36:37
35,"This week, serious restrictions on public life go into effect across Germany. Many states have closed schools, cinemas, public swimming pools ...",startpage,[6],https://www.spiegel.de/international/g[...]a-3c541d1d-1d42-4672-9fdc-af6c3247df76,2020-03-16 00:00:00,0.16666666666666666,"Closures, Controls and Other Restrictions: The Shutdown Begins ...",https://www.spiegel.de/international/germany/the-shutdown-begins-across-germany-a-3c541d1d-1d42-4672-9fdc-af6c3247df76,shut+down,germany+shut+down,lockdown,germany,"This week, serious restrictions on public life go into effect across Germany. Many states have closed schools, cinemas, public swimming pools",2020-03-16 00:00:00
36,Drastic Measures Germany Moves To Shut Down Most of Public Life. The German government and the federal states have agreed to severe ...,startpage,[7],https://www.spiegel.de/international/g[...]a-093655fd-386f-40b6-af01-e24a8cb02f6a,2020-03-16 00:00:00,0.14285714285714285,Drastic Measures: Germany Moves To Shut Down Most of Public Life,https://www.spiegel.de/international/germany/germany-moves-to-shut-down-most-of-public-life-a-093655fd-386f-40b6-af01-e24a8cb02f6a,shut+down,germany+shut+down,lockdown,germany,Drastic Measures Germany Moves To Shut Down Most of Public Life. The German government and the federal states have agreed to severe,2020-03-16 00:00:00
37,"Italy Struck by Deadliest Day as Virus Prompts Industry Shutdown. By ... Germany, long a holdout on deficit spending, pledged new debt worth ...",startpage,[8],https://www.bloomberg.com/news/article[...]-spending-of-eu150-billion-scholz-says,2020-03-22 00:36:37,0.125,Virus News: Italian Industry Shuts Down - Bloomberg,https://www.bloomberg.com/news/articles/2020-03-21/germany-plans-extra-spending-of-eu150-billion-scholz-says,shut+down,germany+shut+down,lockdown,germany,"Italy Struck by Deadliest Day as Virus Prompts Industry Shutdown. By Germany, long a holdout on deficit spending, pledged new debt worth",2020-03-22 00:36:37
38,"Schools had already been shut down, but Chancellor Angela Merkel on Monday ordered a ban on religious services and the closing of most ...",startpage,[9],https://www.npr.org/sections/goatsands[...]en-restrictions-to-control-coronavirus,2020-03-17 00:00:00,0.1111111111111111,"EU Locks Down Borders As France, Germany Tighten Restrictions ...",https://www.npr.org/sections/goatsandsoda/2020/03/17/816994811/eu-to-shut-borders-as-france-germany-tighten-restrictions-to-control-coronavirus,shut+down,germany+shut+down,lockdown,germany,"Schools had already been shut down, but Chancellor Angela Merkel on Monday ordered a ban on religious services and the closing of most",2020-03-17 00:00:00
39,"ON. German nuclear power units. Plant, Type, MWe (net), Commercial operation, Operator, Provisionally scheduled shutdown 2001 ...",startpage,[10],https://www.world-nuclear.org/informat[...]ry-profiles/countries-g-n/germany.aspx,,0.1,Nuclear Power in Germany - World Nuclear Association,https://www.world-nuclear.org/information-library/country-profiles/countries-g-n/germany.aspx,shut+down,germany+shut+down,lockdown,germany,"ON. German nuclear power units. Plant, Type, MWe (net), Commercial operation, Operator, Provisionally scheduled shutdown 2001",
40,Travelers should be prepared for the possibility that additional travel restrictions will be implemented with little or no advance notice. The most ...,startpage,[1],https://de.usembassy.gov/covid-19-information/,2020-03-24 00:36:38,1.0,COVID-19 Information | U.S. Embassy & Consulates in Germany,https://de.usembassy.gov/covid-19-information/,travel+restrictions,germany+travel+restrictions,boarders,germany,Travelers should be prepared for the possibility that additional travel restrictions will be implemented with little or no advance notice. The most,2020-03-24 00:36:38
41,"EU leaders agree to implement a 30-day travel ban on those traveling from outside the EU, with a limited number of exceptions. German ...",startpage,[2],https://www.dw.com/en/coronavirus-late[...]mplements-non-eu-travel-ban/a-52802039,2020-03-17 00:00:00,0.5,Coronavirus latest: Germany implements non-EU travel ban | DW ...,https://www.dw.com/en/coronavirus-latest-germany-implements-non-eu-travel-ban/a-52802039,travel+restrictions,germany+travel+restrictions,boarders,germany,"EU leaders agree to implement a 30-day travel ban on those traveling from outside the EU, with a limited number of exceptions. German",2020-03-17 00:00:00
42,"The European Union is locking down its borders, imposing a 30-day entry ban on nonessential travel for non-EU citizens to slow the spread of ...",startpage,[3],https://www.npr.org/sections/goatsands[...]en-restrictions-to-control-coronavirus,2020-03-17 00:00:00,0.3333333333333333,"EU Locks Down Borders As France, Germany Tighten Restrictions ...",https://www.npr.org/sections/goatsandsoda/2020/03/17/816994811/eu-to-shut-borders-as-france-germany-tighten-restrictions-to-control-coronavirus,travel+restrictions,germany+travel+restrictions,boarders,germany,"The European Union is locking down its borders, imposing a 30-day entry ban on nonessential travel for non-EU citizens to slow the spread of",2020-03-17 00:00:00
43,"Any country or area may restrict travel without notice. If you live in the UK and are currently travelling abroad, you are strongly advised to return now, where and ...",startpage,[4],https://www.gov.uk/foreign-travel-advice/germany,,0.25,Germany travel advice - GOV.UK,https://www.gov.uk/foreign-travel-advice/germany,travel+restrictions,germany+travel+restrictions,boarders,germany,"Any country or area may restrict travel without notice. If you live in the UK and are currently travelling abroad, you are strongly advised to return now, where and",
44,"Entry: travel restrictions and border controls. Germany has introduced travel restrictions for entries from outside the Schengen area on March 17, ...",startpage,[5],https://www.auswaertiges-amt.de/en/coronavirus/2317268,2020-03-23 00:36:38,0.2,Coronavirus and entry restrictions: 4 things travelers to Germany ...,https://www.auswaertiges-amt.de/en/coronavirus/2317268,travel+restrictions,germany+travel+restrictions,boarders,germany,"Entry: travel restrictions and border controls. Germany has introduced travel restrictions for entries from outside the Schengen area on March 17,",2020-03-23 00:36:38
45,"Information and developments from the German Federal Ministry of ... restrictions in international air and other travel, worldwide restrictions on ...",startpage,[6],https://www.bundesgesundheitsministerium.de/en/press/2020/coronavirus.html,2020-03-18 00:00:00,0.16666666666666666,Coronavirus Disease (COVID-19) | Current Status | FAQ,https://www.bundesgesundheitsministerium.de/en/press/2020/coronavirus.html,travel+restrictions,germany+travel+restrictions,boarders,germany,"Information and developments from the German Federal Ministry of restrictions in international air and other travel, worldwide restrictions on",2020-03-18 00:00:00
46,"Many airports are closing, preventing flights from leaving. Exit bans are becoming more frequent. New restrictions may be imposed with little warning. Your travel ...",startpage,[7],https://travel.gc.ca/destinations/germany,,0.14285714285714285,Travel advice and advisories for Germany,https://travel.gc.ca/destinations/germany,travel+restrictions,germany+travel+restrictions,boarders,germany,"Many airports are closing, preventing flights from leaving. Exit bans are becoming more frequent. New restrictions may be imposed with little warning. Your travel",
47,16 Mar 2020 ...,startpage,[8],https://www.bbc.com/news/world-europe-51905129,,0.125,Germany closes borders to try to slow virus,https://www.bbc.com/news/world-europe-51905129,travel+restrictions,germany+travel+restrictions,boarders,germany,2020-03-16,2020-03-16 00:00:00
48,"Some other countries have imposed travel restrictions, including a ban on entry or quarantine on arrival, for travellers from Germany. We now advise you to:.",startpage,[9],https://www.smartraveller.gov.au/destinations/europe/germany,,0.1111111111111111,Germany Travel Advice & Safety | Smartraveller,https://www.smartraveller.gov.au/destinations/europe/germany,travel+restrictions,germany+travel+restrictions,boarders,germany,"Some other countries have imposed travel restrictions, including a ban on entry or quarantine on arrival, for travellers from Germany. We now advise you to:.",
49,"On the same date, India also mandated 14-day quarantine for citizens returning from seven countries: China, France, Germany, Iran, Italy, South Korea and Spain.",startpage,[10],https://en.wikipedia.org/wiki/Travel_r[...]e_2019%E2%80%9320_coronavirus_pandemic,,0.1,Travel restrictions related to the 2019–20 coronavirus pandemic ...,https://en.wikipedia.org/wiki/Travel_restrictions_related_to_the_2019%E2%80%9320_coronavirus_pandemic,travel+restrictions,germany+travel+restrictions,boarders,germany,"On the same date, India also mandated 14-day quarantine for citizens returning from seven countries: China, France, Germany, Iran, Italy, South Korea and Spain.",
50,18 Mar 2020 ...,startpage,[1],https://www.politico.eu/article/german[...]borders-to-eu-travelers-minister-says/,,1.0,"Germany expands border controls for EU travelers, minister says",https://www.politico.eu/article/germany-closing-borders-to-eu-travelers-minister-says/,closes+boarders,germany+closes+boarders,boarders,germany,2020-03-18,2020-03-18 00:00:00
51,15 Mar 2020 ...,startpage,[2],https://www.politico.eu/article/german[...]artially-close-borders-with-neighbors/,,0.5,Germany to partially close borders with neighbors,https://www.politico.eu/article/germany-to-partially-close-borders-with-neighbors/,closes+boarders,germany+closes+boarders,boarders,germany,2020-03-15,2020-03-15 00:00:00
52,German officials announced Wednesday that the country will ban travel from European Union (EU) countries as part of the country's efforts to ...,startpage,[3],https://thehill.com/policy/internation[...]osing-its-borders-to-travelers-from-eu,2020-03-18 00:00:00,0.3333333333333333,Germany closing its borders to travelers from EU | TheHill,https://thehill.com/policy/international/488310-germany-closing-its-borders-to-travelers-from-eu,closes+boarders,germany+closes+boarders,boarders,germany,German officials announced Wednesday that the country will ban travel from European Union (EU) countries as part of the country's efforts to,2020-03-18 00:00:00
53,"Coronavirus COVID-19; air borders with Spain, Italy,France, Germany and Austria;; (16 March – 15 April 2020) Coronavirus COVID-19; land borders with France ...",startpage,[4],https://ec.europa.eu/home-affairs/what[...]engen/reintroduction-border-control_en,,0.25,Temporary Reintroduction of Border Control - European Commission,https://ec.europa.eu/home-affairs/what-we-do/policies/borders-and-visas/schengen/reintroduction-border-control_en,closes+boarders,germany+closes+boarders,boarders,germany,"Coronavirus COVID-19; air borders with Spain, Italy,France, Germany and Austria;; (16 March – 15 April 2020) Coronavirus COVID-19; land borders with France",
54,"Germany Introduces Rigorous Border Checks as Coronavirus Precaution ... gathering spots, such as bars, restaurants and discos to close.",startpage,[5],https://www.schengenvisainfo.com/news/[...]cks-as-coronavirus-precaution-measure/,2020-02-29 00:00:00,0.2,Germany Introduces Rigorous Border Checks as Coronavirus ...,https://www.schengenvisainfo.com/news/germany-introduces-rigorous-border-checks-as-coronavirus-precaution-measure/,closes+boarders,germany+closes+boarders,boarders,germany,"Germany Introduces Rigorous Border Checks as Coronavirus Precaution gathering spots, such as bars, restaurants and discos to close.",2020-02-29 00:00:00
